x,t,u
0.19,0.04,0.00761
0.2,0.04,0.00864933
0.21,0.04,0.00975533
0.22,0.04,0.010928
0.23,0.04,0.0121673
0.24,0.04,0.0134733
0.25,0.04,0.014846
0.26,0.04,0.0162853
0.27,0.04,0.0177913
0.28,0.04,0.019364
0.29,0.04,0.0210033
0.3,0.04,0.0227093
0.31,0.04,0.024482
0.32,0.04,0.0263213
0.33,0.04,0.0282273
0.34,0.04,0.0302
0.35,0.04,0.0322393
0.36,0.04,0.0343453
0.37,0.04,0.036518
0.38,0.04,0.0387573
0.39,0.04,0.0410633
0.4,0.04,0.043436
0.41,0.04,0.0458753
0.42,0.04,0.0483813
0.43,0.04,0.050954
0.44,0.04,0.0535933
0.45,0.04,0.0562993
0.46,0.04,0.059072
0.47,0.04,0.0619113
0.48,0.04,0.0648173
0.49,0.04,0.06779
0.5,0.04,0.0708293
0.51,0.04,0.0739353
0.52,0.04,0.077108
0.53,0.04,0.0803473
0.54,0.04,0.0836533
0.55,0.04,0.087026
0.56,0.04,0.0904653
0.57,0.04,0.0939713
0.58,0.04,0.097544
0.59,0.04,0.101183
0.6,0.04,0.104889
0.61,0.04,0.108662
0.62,0.04,0.112501
0.63,0.04,0.116407
0.64,0.04,0.12038
0.65,0.04,0.124419
0.66,0.04,0.128525
0.67,0.04,0.132698
0.68,0.04,0.136937
0.69,0.04,0.141243
0.7,0.04,0.145616
0.71,0.04,0.150055
0.72,0.04,0.154561
0.73,0.04,0.159134
0.74,0.04,0.163773
0.75,0.04,0.168479
0.76,0.04,0.173252
0.77,0.04,0.178091
0.78,0.04,0.182997
0.79,0.04,0.18797
0.8,0.04,0.193009
0.81,0.04,0.198115
0.82,0.04,0.203288
0.83,0.04,0.208527
0.84,0.04,0.213833
0.85,0.04,0.219206
0.86,0.04,0.224645
0.87,0.04,0.230151
0.88,0.04,0.235724
0.89,0.04,0.241363
0.9,0.04,0.247069
0.91,0.04,0.252842
0.92,0.04,0.258681
0.93,0.04,0.264587
0.94,0.04,0.27056
0.95,0.04,0.276599
0.96,0.04,0.282705
0.97,0.04,0.288878
0.98,0.04,0.295117
0.99,0.04,0.301423
1,0.04,0.307796
1.01,0.04,0.314235
1.02,0.04,0.320741
1.03,0.04,0.327314
1.04,0.04,0.333953
1.05,0.04,0.340659
1.06,0.04,0.347432
1.07,0.04,0.354271
1.08,0.04,0.361177
1.09,0.04,0.36815
1.1,0.04,0.375189
